merchant_description,merchant_token,mcc,city,country,predicted_main_category,predicted_main_category_description,predicted_subcategory,predicted_subcategory_description,predicted_sub_subcategory,confidence,classification_source,matched_by
LIM*RIDE JYLX,lim ride jylx,4789,WARSZAWA,PL,,,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,
FOODORA_AT_UP11-2540-L,foodora,5499,WIEN,AT,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
HM CZ0016,,5651,PRAHA,CZ,Clothing & Apparel,Clothing stores,Apparel,"Clothing stores, shoe stores, specialty apparel",Family Clothing Stores,0.95,rule_based,mcc_rule
DUBAI TAXI,dubai taxi,4111,DUBAI,AE,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
JUMBO HAARLEM KRUIS,jumbo haarlem kruis,5199,HAARLEM,NL,,,Wholesale,"Durable goods wholesalers, industrial equipment",,0.0,rule_based,
SABATINI PIZZA SRL,sabatini pizza srl,5812,BUCURESTI,RO,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
RATP,ratp,4111,PARIS,FR,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
WWW.AMAZON* 204-08163,amazon,5399,5  1401865794,GB,Shopping,"Department stores, general retail",Wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule
GOPAY  *COTTON-SHOP.SK,gopay cotton,5651,BRNO - JUNDRO,CZ,Clothing & Apparel,Clothing stores,Apparel,"Clothing stores, shoe stores, specialty apparel",Family Clothing Stores,0.95,rule_based,mcc_rule
TÉLÉ ANZÈRE SOCIÉTÉ AN,anz soci,4789,ANZÈRE,CH,,,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,
XERO CAN INV-501447,xero can inv,5734,VANCOUVER,CA,Electronics & Home,"Electronics, furniture, home stores",Home & Electronics,"Furniture, appliances, electronics stores",Computer Software Stores,0.95,rule_based,mcc_rule
LIME*RIDE WARN,lime ride warn,4789,BUCHAREST,RO,,,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,
ALFANTOUSH MALL,alfantoush mall,5411,AMMAN,JO,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
WOW EB6DC LIVE-SPO,wow live spo,5815,UNTERFOEHRING,DE,,,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",,0.0,rule_based,
GOPAY  *MOTUCKO.CZ,gopay motucko,5200,JABLONNE NAD,CZ,,,Wholesale,"Durable goods wholesalers, industrial equipment",Home Supply Warehouse Stores,0.0,rule_based,
AMAZON UK* O24OB5WP5,amazon,5399,LONDON,GB,Shopping,"Department stores, general retail",Wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule
BOLT.EU/O/2508160221,bolt,4121,TALLINN,EE,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Taxi Services,0.95,rule_based,mcc_rule
AMAZON UK* ZX65Q7YT4,amazon,5399,LONDON,GB,Shopping,"Department stores, general retail",Wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule
TIERARZTPRAXIS DR SA,tierarztpraxis,742,RANNERSDORF,AT,,,Agricultural Services,"Farming, veterinary services, horticulture, agricultural cooperatives",Veterinary Services,0.0,rule_based,
55-18576-012782745 WWW.IN,,5734,ROMA,IT,Electronics & Home,"Electronics, furniture, home stores",Home & Electronics,"Furniture, appliances, electronics stores",Computer Software Stores,0.95,rule_based,mcc_rule
TFL TRAVEL CHARGE,tfl travel charge,4111,TFL.GOV.UK/CP,GB,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
ROUSSIDIS ATHAN.,roussidis athan,5422,SYKIES,GR,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Freezer & Locker Meat Provisioners,0.95,rule_based,mcc_rule
VIPPS*PHILIP NGUYEN,vipps philip nguyen,4829,OSLO,NO,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Money Transfer,0.95,rule_based,mcc_rule
ACS*21126187 THREE,acs three,4814,0107989541,NL,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Telecommunication Services,0.95,rule_based,mcc_rule
GOPAY *TEAMIO.COM,gopay teamio,5734,TEAMIO.COM,CZ,Electronics & Home,"Electronics, furniture, home stores",Home & Electronics,"Furniture, appliances, electronics stores",Computer Software Stores,0.95,rule_based,mcc_rule
CAFETARIA SPECIALTY SHOP,cafetaria specialty,5812,BUCURESTI,RO,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
PIPI OL FALODA 2,pipi faloda,5814,BUDAPEST,HU,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Fast Food Restaurants,0.95,rule_based,mcc_rule
GOOGLE *YOUNGJOY,google youngjoy,5817,G.CO/HELPPAY#,US,,,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",,0.0,rule_based,
FOODORA_AT_B3TY-2514-4,foodora,5499,WIEN,AT,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
RENFE CERCANIAS TNA 08 (6,renfe cercanias tna,4112,BARCELONA,ES,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Passenger Railways,0.95,rule_based,mcc_rule
MNE*95021885NADAMAS_SR,mne,5812,BOLZANO,IT,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
AMAZON UK* C57CV32Q5,amazon,5399,LONDON,GB,Shopping,"Department stores, general retail",Wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule
FIRST EVENT AG,first event,7999,FRAUENFELD,CH,Entertainment & Leisure,"Cinemas, gaming, amusement, recreation",Entertainment & Recreation,"Gambling, cinemas, amusement parks, sports",,0.95,rule_based,mcc_rule
EPERJES E'TTEREM,eperjes tterem,5812,NYIREGYHAZA,HU,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
